Entity,bins
lower wages than their American counterparts,Bin 2
magazines,Bin 4 (Lowest)
"main line, the last two being Nahur and Mulund",Bin 1 (Highest)
mainframes,Bin 2
major bombings,Bin 2
manager Charlie Manuel,Bin 2
manager Peter Taylor,Bin 2
many Ethnic Minority Party candidates,Bin 3
many Japanese trading companies,Bin 2
many areas,Bin 4 (Lowest)
many hidden crises and risks lurking ahead,Bin 1 (Highest)
many of the township's roads,Bin 2
many others,Bin 3
many years,Bin 4 (Lowest)
marchers,Bin 3
maritime officials,Bin 3
"market environment, infrastructure, political and regulatory environment, readiness of individuals, businesses and governments to embrace the technologies, and the uses to which the technology is put",Bin 1 (Highest)
me,Bin 4 (Lowest)
means,Bin 4 (Lowest)
media,Bin 4 (Lowest)
medical instruments such as blood-oxygen monitors and ear thermometers,Bin 1 (Highest)
medicine,Bin 4 (Lowest)
medium-and small-sized companies,Bin 2
members of his party,Bin 2
midday,Bin 4 (Lowest)
minimum and maximum requirements on rake and trail,Bin 1 (Highest)
minutes,Bin 4 (Lowest)
model,Bin 4 (Lowest)
modern India,Bin 3
money,Bin 4 (Lowest)
money funds,Bin 3
moral conclusions,Bin 3
more business,Bin 3
more important factors,Bin 3
more people,Bin 3
more sense,Bin 4 (Lowest)
more than a year,Bin 3
more years of litigation,Bin 2
morning,Bin 4 (Lowest)
moshav Shibolim,Bin 1 (Highest)
most people,Bin 4 (Lowest)
motherhood,Bin 4 (Lowest)
mountainous areas,Bin 3
moves,Bin 4 (Lowest)
"movies like Johnny Guitar, Vera Cruz and Bad Day at Black Rock",Bin 1 (Highest)
much of that period,Bin 2
much-needed support,Bin 2
multiple cultures,Bin 3
multiple landslide deposits,Bin 2
music,Bin 4 (Lowest)
my experiences,Bin 4 (Lowest)
my foot,Bin 3
my mother,Bin 4 (Lowest)
my thoughts,Bin 4 (Lowest)
my whole family,Bin 3
my words,Bin 4 (Lowest)
myself,Bin 4 (Lowest)
nations,Bin 4 (Lowest)
"native originally of South Africa, Madagascar, and Asia",Bin 1 (Highest)
natural gas as its raw material,Bin 2
nearby cities,Bin 3
nearly half of all civilian deaths,Bin 2
negotiations,Bin 4 (Lowest)
neighboring countries,Bin 4 (Lowest)
neither man,Bin 2
nerve tissue,Bin 3
new areas,Bin 4 (Lowest)
new details,Bin 3
new emissions goals,Bin 2
new jobs,Bin 4 (Lowest)
new office space,Bin 3
new stock or corporate debt,Bin 2
new techniques,Bin 3
news,Bin 4 (Lowest)
news articles,Bin 3
nineteen hundred and fifty seven,Bin 2
no damage on government agencies,Bin 1 (Highest)
no deal,Bin 3
no designation from the IATA,Bin 2
no further details,Bin 3
no real bearing on the real world,Bin 2
no suggestion,Bin 3
no time,Bin 4 (Lowest)
none other than the mortal enemy of the US,Bin 1 (Highest)
noon,Bin 4 (Lowest)
north,Bin 4 (Lowest)
northeast of Dali in Yunnan province,Bin 2
not life,Bin 2
"notes of bergamot blossom, freesia, pepper blossom, acacia aura, lotus flower, osmanthus, iris, sandalwood and musk",Bin 1 (Highest)
number one,Bin 3
number two,Bin 3
numerous suspected insurgents,Bin 2
occupational duties,Bin 3
office,Bin 4 (Lowest)
officer Matthew Schofield,Bin 1 (Highest)
official corruption,Bin 3
official data,Bin 3
official estimates,Bin 3
officials,Bin 4 (Lowest)
oil that's dispersed through wind and wave,Bin 1 (Highest)
"old, obsolete technology, as inspired by Hans Holbein the Younger's The Ambassadors",Bin 1 (Highest)
one,Bin 4 (Lowest)
one administration official,Bin 2
one day,Bin 3
one full year,Bin 2
one line of his mother,Bin 1 (Highest)
one new issue,Bin 2
one of my favourite sights in the night sky,Bin 2
one of the few Kiss songs written by Gene Simmons and Paul Stanley together,Bin 1 (Highest)
one of the primary school songs,Bin 2
one of the seven archangels,Bin 3
one of the very few places in Milwaukee where you can order the Cornerstone Sauvignon Blanc,Bin 1 (Highest)
"one player, who did not want to be named",Bin 1 (Highest)
one prominent family in Hanover,Bin 2
one scene in the movie Big where the young Tom Hanks character gets,Bin 1 (Highest)
one sentence,Bin 3
one term,Bin 2
only a few areas,Bin 2
only a slight swing against him,Bin 2
only a superb late stop by David James,Bin 1 (Highest)
only last month,Bin 2
opinion,Bin 4 (Lowest)
opinion polls,Bin 3
orchestral accompanying to the three singers,Bin 1 (Highest)
order,Bin 4 (Lowest)
ordinary Qingdao residents,Bin 2
original,Bin 4 (Lowest)
other US warships,Bin 3
"other anarchists, notably Murray Bookchin, whose polemic, Social Anarchism Or Lifestyle Anarchism: An Unbridgeable Chasm, attacks these recent trends in anarchist thinking",Bin 1 (Highest)
other approaches,Bin 3
other machines,Bin 3
other rich countries,Bin 3
other things,Bin 3
"other, far-reaching repercussions",Bin 1 (Highest)
others,Bin 4 (Lowest)
our behalf,Bin 4 (Lowest)
our classrooms,Bin 3
our cricket,Bin 2
our national security,Bin 3
our resolve to remain a force for peace and for stability,Bin 1 (Highest)
our tool kit,Bin 2
our troops in less than a,Bin 2
our vessels,Bin 3
ourselves,Bin 4 (Lowest)
out of town,Bin 3
over-exposed market participants,Bin 2
oversight of Wall Street,Bin 2
pAsia,Bin 2
paper,Bin 4 (Lowest)
paranoia,Bin 4 (Lowest)
part,Bin 4 (Lowest)
part of efforts,Bin 3
part of our nation,Bin 3
part of the FA Premier Reserve League,Bin 2
part of the Great Western Railway route,Bin 2
part of the editing of The Oxyrynthus Papyri and other similar works,Bin 1 (Highest)
patience,Bin 4 (Lowest)
pay,Bin 4 (Lowest)
peace,Bin 4 (Lowest)
peacekeeping operations,Bin 4 (Lowest)
pensions and expenses,Bin 2
people,Bin 4 (Lowest)
"people from Entre Rios, Corrientes and Santa Fe provinces plus some porteno emigrants",Bin 1 (Highest)
permission,Bin 4 (Lowest)
personal friends,Bin 3
"philosophy, English literature and Arabic",Bin 2
pickups Sunday,Bin 2
piles of ashes and bones,Bin 2
place,Bin 4 (Lowest)
place in a large baking pan or dish,Bin 1 (Highest)
plenty of ailments,Bin 1 (Highest)
plenty of references,Bin 2
pole position,Bin 4 (Lowest)
police,Bin 4 (Lowest)
police officers,Bin 4 (Lowest)
policy,Bin 4 (Lowest)
political purposes,Bin 4 (Lowest)
political rights,Bin 3
populations,Bin 4 (Lowest)
poster stamps (advertising posters in collectible stamp form),Bin 1 (Highest)
power,Bin 4 (Lowest)
power and fuel shortages,Bin 2
practices,Bin 4 (Lowest)
pregnant women,Bin 4 (Lowest)
preliminary stages,Bin 3
present,Bin 4 (Lowest)
present Erwin Arnada--now at large,Bin 1 (Highest)
presentations by responsible officials of this port,Bin 1 (Highest)
president,Bin 4 (Lowest)
prices,Bin 4 (Lowest)
prime minister,Bin 4 (Lowest)
princely states,Bin 4 (Lowest)
print,Bin 4 (Lowest)
privatdozent in philosophy,Bin 1 (Highest)
private armies,Bin 3
profits,Bin 4 (Lowest)
prominence,Bin 4 (Lowest)
promotion,Bin 4 (Lowest)
provincial rugby union teams in South Africa,Bin 2
"provocative actions that could worsen tensions with South Korea and Japan and their main ally, the United States",Bin 1 (Highest)
public anger,Bin 3
public transport in Amsterdam,Bin 3
published photos of topless women at his villa,Bin 1 (Highest)
q,Bin 4 (Lowest)
queen bees,Bin 4 (Lowest)
quite some time,Bin 3
races in Pennsylvania and Arkansas,Bin 1 (Highest)
rain,Bin 4 (Lowest)
"rain giving way to dry, warmer weather",Bin 1 (Highest)
randomness,Bin 4 (Lowest)
rap fans in the Senegalese capital,Bin 1 (Highest)
rare plants,Bin 4 (Lowest)
rats and mice of the genera,Bin 2
raw uranium,Bin 2
re-sign various players,Bin 2
real events,Bin 3
"recent data from the Ulysses spacecraft, across the Solar System",Bin 1 (Highest)
recent days,Bin 3
recovery in Germany and France,Bin 2
regional leaders,Bin 3
relations,Bin 4 (Lowest)
relationships,Bin 4 (Lowest)
relegation,Bin 4 (Lowest)
religions,Bin 4 (Lowest)
remote parts of the city such as the Nong Chok district where traditional Thai Muslims still live,Bin 1 (Highest)
remote provinces,Bin 3
reporters,Bin 4 (Lowest)
reporters on Thursday,Bin 2
representatives of the Portuguese community,Bin 2
residents,Bin 4 (Lowest)
response to the allegations in the report,Bin 2
results,Bin 4 (Lowest)
retail group Parkson,Bin 2
revised data,Bin 3
rheumatoid arthritis,Bin 1 (Highest)
rice,Bin 4 (Lowest)
right,Bin 4 (Lowest)
road,Bin 4 (Lowest)
royalist,Bin 4 (Lowest)
royalty payments,Bin 3
ruler of Egypt,Bin 3
salads,Bin 3
saltwater,Bin 3
scholars,Bin 4 (Lowest)
school,Bin 4 (Lowest)
scientists,Bin 4 (Lowest)
score,Bin 4 (Lowest)
scores,Bin 4 (Lowest)
scripts,Bin 3
scythes,Bin 2
secrecy,Bin 4 (Lowest)
secret police and Army after Ceausescu,Bin 1 (Highest)
security forces,Bin 4 (Lowest)
seeds,Bin 4 (Lowest)
"sellers, and particularly program traders",Bin 1 (Highest)
sensitive activities,Bin 2
separate announcements of their plans,Bin 2
service,Bin 4 (Lowest)
settlers from the Connecticut Colony,Bin 2
seven matches,Bin 3
seven of them with her as refugees,Bin 1 (Highest)
seven scoreless innings,Bin 2
seven years,Bin 3
several Bangor class minesweepers,Bin 1 (Highest)
several European countries,Bin 3
"several Indian Orders of Merit, as well as a number of Indian Distinguished Service Medals and Indian Meritorious Service Medals",Bin 1 (Highest)
several battalions,Bin 3
several cover paintings and a few comic stories for the Warren Publishing horror magazines,Bin 1 (Highest)
several film festivals,Bin 3
several major Christian music festivals over the next few months,Bin 1 (Highest)
several more days,Bin 3
several musicians,Bin 3
several new characters,Bin 4 (Lowest)
several other agreements,Bin 3
several times,Bin 3
several visits,Bin 3
"several world class golf courses including Pezula Golf Course, Simola Golf Course and the well established Knysna Golf Course",Bin 1 (Highest)
several years,Bin 4 (Lowest)
"sex scandals: Gary Hart, Chuck Robb, and Teddy Kennedy",Bin 1 (Highest)
shame,Bin 4 (Lowest)
shareholders,Bin 4 (Lowest)
shares,Bin 4 (Lowest)
she,Bin 4 (Lowest)
shipments for the month,Bin 2
ships,Bin 4 (Lowest)
shop at SkyDome (now Rogers Centre),Bin 2
shoplifters,Bin 2
shopping,Bin 4 (Lowest)
short track,Bin 4 (Lowest)
short-pitched deliveries,Bin 3
shows like The View and The Tonight Show with Jay Leno,Bin 1 (Highest)
similar performance,Bin 4 (Lowest)
situation in Europe,Bin 3
six soldiers,Bin 3
slower but steady economic development,Bin 2
small groups of British-trained Albanians,Bin 1 (Highest)
smaller lenders like rural credit cooperatives,Bin 1 (Highest)
snow,Bin 4 (Lowest)
society,Bin 4 (Lowest)
soldiers,Bin 4 (Lowest)
some banks,Bin 4 (Lowest)
"some blocks in the secondary-LCB-market-RCB -, which we haven't seen for a while",Bin 1 (Highest)
some concern,Bin 3
some corporate masseurs,Bin 2
some covering fire,Bin 3
some fancy stuff,Bin 2
some financial lobbyists,Bin 2
some losses and liquidity problems,Bin 1 (Highest)
some of the most talented young guitarists,Bin 2
some of the responses,Bin 2
some responsibility,Bin 3
some sort of network,Bin 2
some strongholds,Bin 2
some substantive educational content to show visitors,Bin 1 (Highest)
"some unstable, or radioactive, isotopes",Bin 1 (Highest)
some witnesses,Bin 3
something we'll deliver it to you,Bin 1 (Highest)
songs,Bin 4 (Lowest)
sons,Bin 4 (Lowest)
sources,Bin 4 (Lowest)
southwest Manitoba,Bin 3
"sparkling wine, such as Spanish cava",Bin 1 (Highest)
special diplomatic plates,Bin 3
spots,Bin 4 (Lowest)
stage,Bin 4 (Lowest)
stimulus monetary policies and economic structural adjustments,Bin 1 (Highest)
stock-market volatility,Bin 1 (Highest)
stressful periods,Bin 3
stricter monitoring of their operations,Bin 1 (Highest)
students,Bin 4 (Lowest)
studios in Manhattan,Bin 3
stuff Janet,Bin 3
substantial hurdles,Bin 3
such authorities,Bin 3
such companies,Bin 3
such data,Bin 3
such newspapers,Bin 3
such treasured artifacts as Lord Nelson's spyglass,Bin 1 (Highest)
suit,Bin 4 (Lowest)
support,Bin 4 (Lowest)
surviving male issue,Bin 2
suspicions,Bin 4 (Lowest)
swimming,Bin 4 (Lowest)
swine flu,Bin 2
systems,Bin 4 (Lowest)
talks,Bin 4 (Lowest)
teachers,Bin 4 (Lowest)
tears,Bin 4 (Lowest)
television,Bin 4 (Lowest)
terms of intimacy with James Mill and Francis Place,Bin 1 (Highest)
terms of its ranking within Latin America,Bin 1 (Highest)
terms of its righteousness,Bin 2
texturing agents,Bin 2
that distributor,Bin 2
that epoch,Bin 3
that group,Bin 3
that of the United States' FBI,Bin 2
that person,Bin 3
that time,Bin 3
that work,Bin 3
the AHL's Binghamton Senators,Bin 1 (Highest)
the APPD,Bin 2
the Advancement of Science and the Franklin Institute,Bin 1 (Highest)
the Afghan people,Bin 3
"the Al Merreikh Stadium, Omdurman (Sudan)",Bin 1 (Highest)
the Algonquian peoples,Bin 1 (Highest)
the Amazon River basin,Bin 3
the American Revolutionary War,Bin 4 (Lowest)
the Amiga,Bin 3
the Antarctic,Bin 4 (Lowest)
the April report,Bin 3
the Archbishop of Dublin,Bin 3
the Army,Bin 4 (Lowest)
the Army of the Potomac,Bin 3
the Autobianchi badge,Bin 1 (Highest)
the BP-leased Deepwater Horizon rig,Bin 1 (Highest)
the Bangladeshis,Bin 3
the Baton Rouge police chief and the serial murder task force,Bin 1 (Highest)
the Black Sea coast,Bin 3
the Brazilian team,Bin 3
the Burmese military,Bin 3
the CBBC show Trapped,Bin 1 (Highest)
the CCP's current control on news,Bin 1 (Highest)
the CEOs of companies,Bin 2
the Caliph and Henry Ainley,Bin 1 (Highest)
the Canadian tournament,Bin 3
the Carpenter government,Bin 2
the Chairman of the Executive Committee of the Riga City Soviet,Bin 1 (Highest)
the Chesnels' story,Bin 1 (Highest)
the Chicago Bulls,Bin 4 (Lowest)
the Chrysler Corporation,Bin 3
the City Council,Bin 4 (Lowest)
the City Government,Bin 4 (Lowest)
the Cleveland Browns,Bin 3
the Cleveland suburb of Kirtland,Bin 1 (Highest)
the Clinton administration,Bin 4 (Lowest)
the Colorado ranch,Bin 2
the Communist Party and most Han cadres,Bin 1 (Highest)
the Consortium,Bin 3
the Constitution,Bin 4 (Lowest)
the Contras,Bin 3
"the Cook County Bar Association, the Justice Coalition of Chicago and others",Bin 1 (Highest)
"the Crib ""is the second single by American",Bin 1 (Highest)
the Decorated Period,Bin 3
the Democratic convention,Bin 3
the Detroit Red Wings,Bin 3
the Doha negotiations,Bin 3
the Dragon Queen of Waste Paper,Bin 2
"the Egyptian side, the exits often disguised by homes",Bin 1 (Highest)
the Emirates Stadium,Bin 3
"the English Foreign Minister, Mr. Balfour",Bin 1 (Highest)
the English Parliament,Bin 4 (Lowest)
the English language,Bin 3
the Erics Crossing between the Gaza Strip and Israel,Bin 1 (Highest)
the European Commission,Bin 4 (Lowest)
"the European Parliament, in which UKIP increased their representation from three to twelve seats",Bin 1 (Highest)
"the European Quarter of Strasbourg, France",Bin 2
the FA Cup,Bin 4 (Lowest)
the Farnworth county constituency,Bin 1 (Highest)
the Fifteenth Air Force,Bin 3
the Gandhi memorial,Bin 3
the German author,Bin 3
"the German, Italian, Japanese, and Portuguese communities",Bin 1 (Highest)
the Greens,Bin 4 (Lowest)
the Guantanamo Bay detention camp,Bin 3
the Gulf waters,Bin 3
the High Renaissance prevailed-Thomas Gainsborough,Bin 1 (Highest)
the Hon Barry Jones AO MP of the Australian Labor Party,Bin 1 (Highest)
the House of Lords,Bin 3
"the Huemul, Cougar, Andean Mountain Cat, Camelids and, for birds, the Partridge",Bin 1 (Highest)
the Hungarians,Bin 3
the Ilmor Chevrolet program,Bin 1 (Highest)
the Indian Ocean from Reunion,Bin 2
the International Olympic Committee,Bin 3
the International Rules series in Ireland,Bin 2
the Inti Raymi,Bin 1 (Highest)
the Iraqi authorities,Bin 3
the Iraqi grid,Bin 3
the Irish government,Bin 4 (Lowest)
the Islamic Court Union,Bin 2
"the Israeli military, and not the Lebanese",Bin 1 (Highest)
the Israeli national football team,Bin 3
the Italian government,Bin 3
the Italian region of Lombardy,Bin 3
the Jacobite Syriac Orthodox church,Bin 3
the Jain scholar Shrimad Rajchandra,Bin 1 (Highest)
the Japanese Ministry of Education,Bin 2
the Japanese automaker,Bin 3
the Khmer Rouge,Bin 4 (Lowest)
the Kingdom Holding Company,Bin 2
the Leinster winners,Bin 2
"the Lengyel horizon to the south, and the Rossen culture to the west",Bin 1 (Highest)
the London and South Western Railway,Bin 3
the MCC name,Bin 2
the Ma administration's China policy,Bin 1 (Highest)
the Massachusetts Senate race,Bin 3
"the Merthyr, Tredegar and Abergavenny Railway",Bin 1 (Highest)
the Michael Jackson trial in California,Bin 2
the Middle East,Bin 3
the Mine Ban Treaty's provisions,Bin 2
the Ministry of Telecommunications,Bin 3
the NBA record,Bin 4 (Lowest)
the NPA presence,Bin 2
the National Assembly of Bulgaria,Bin 3
the National Hockey League (NHL),Bin 3
the National Memorial Cemetery of the Pacific,Bin 2
the Nazis,Bin 4 (Lowest)
the Netherlands,Bin 4 (Lowest)
the New York Central,Bin 4 (Lowest)
the New York Times and the Washington Post,Bin 3
the Nittany Lions,Bin 2
the North Koreans,Bin 3
"the Norwegian parliament, Stortinget",Bin 1 (Highest)
the Nyquist frequency,Bin 2
the OPEC oil producers' cartel,Bin 1 (Highest)
the Opole Voivodship in Silesia,Bin 1 (Highest)
"the Ottoman Empire, which it itself controlled most of the areas important to the early period of the Baha' i Faith",Bin 1 (Highest)
the Palatine Hill,Bin 4 (Lowest)
the Palmach's First Battalion in Operation Yiftach,Bin 1 (Highest)
the Panama Canal,Bin 3
the Panamanian capital,Bin 3
the Pearl Harbor attack,Bin 3
the Pernambuco state,Bin 1 (Highest)
the Peruvian effort,Bin 3
the Pet Shop Boys,Bin 3
the Philadelphia Growl,Bin 2
the Philippines,Bin 4 (Lowest)
the Pittsburgh Sobor,Bin 2
the Polish peasant,Bin 2
the Port of Olympia region,Bin 2
the Presidency of the United States,Bin 2
the President,Bin 4 (Lowest)
the President of Poland and the Prime Minister of Poland,Bin 1 (Highest)
the Prime Minister,Bin 4 (Lowest)
the Quebec issue,Bin 3
the Queen of England,Bin 3
the Quonset huts and other building,Bin 1 (Highest)
the Rafida,Bin 2
the Republican political leader Grand Pensionary Johan de Witt,Bin 1 (Highest)
"the Repulse Bay, where all deities gather",Bin 1 (Highest)
the Richard Rodgers/Stephen Sondheim,Bin 1 (Highest)
the Rio Chama in the U.S. state of New Mexico,Bin 1 (Highest)
the Rocky Mountains,Bin 3
the Royal Engineers,Bin 3
the Saracens team,Bin 2
the Scottish Claymores,Bin 2
the Scottish Government,Bin 4 (Lowest)
the Second Boer War,Bin 4 (Lowest)
the Second Temple period,Bin 3
the Second World War,Bin 4 (Lowest)
the Senate,Bin 4 (Lowest)
the Senate on Friday,Bin 3
the Seychelles,Bin 3
the Shanghai property market,Bin 2
the Shire of Northern Grampians,Bin 1 (Highest)
the Shri Swaminarayan Mandir,Bin 1 (Highest)
the Siberian border where he had been jailed,Bin 2
"the Social Democratic Party, whose leader, Vaino Tanner, was a strong proponent of the parliamentary system",Bin 1 (Highest)
the South Asian Association,Bin 3
the Southeastern United States,Bin 2
the Spaniards of treason,Bin 2
the Spanish,Bin 4 (Lowest)
the Spanish association for the conservation of European bison,Bin 2
the Sri Sampradaya Vaishnavas,Bin 1 (Highest)
the St. Patrick's Day celebrations,Bin 2
the Standard,Bin 4 (Lowest)
the Streets,Bin 3
the Sundance Film Festival,Bin 3
the Swiss Alps,Bin 3
"the Tenth Amendment, not the Second Amendment",Bin 2
the Tenth Doctor,Bin 3
the Test series,Bin 4 (Lowest)
the Thatcher government,Bin 3
the Turkish support,Bin 2
the U.S.,Bin 3
the U.S. diplomats,Bin 2
the UEFA,Bin 4 (Lowest)
the US,Bin 3
the US suggesting lifting the weapons embargo to Bosnia-Herzegovina,Bin 1 (Highest)
the USA and mainland China,Bin 2
the USAC Championship Car series,Bin 2
the United States,Bin 4 (Lowest)
the United States President Gerald Ford and French president Giscard d'Estaing,Bin 1 (Highest)
the United States Senate,Bin 3
the University of Maryland,Bin 3
the University of Massachusetts and MIT,Bin 2
"the University of Tasmania, Australia",Bin 3
the Victoria Aces,Bin 2
the Vienna Staatsoper soon after her arrival there,Bin 1 (Highest)
the War of the Fourth Coalition,Bin 3
"the Welsh team's new import, Indian captain Sourav Ganguly",Bin 1 (Highest)
the West,Bin 3
the White house and the Nixon campaign,Bin 2
the Wikipedia page,Bin 3
the Wildcat formation,Bin 2
the above picture,Bin 3
the accord,Bin 3
the achievements,Bin 4 (Lowest)
"the actress selected by Victor Hugo to create the part of Guanhumara in Burgraves at the Comedie-Francaise, where she remained ten years",Bin 1 (Highest)
the actual bands and the fact,Bin 2
the actual figure,Bin 3
the adjacent line,Bin 2
the administration,Bin 4 (Lowest)
the adult form of the character from Jonny Quest,Bin 1 (Highest)
the advanced economies,Bin 2
"the advocacy of owning the system or means of production, rather than being an employee of someone else",Bin 1 (Highest)
the agency,Bin 4 (Lowest)
the agency's latest report on Iran,Bin 1 (Highest)
the airport,Bin 4 (Lowest)
the airport control tower,Bin 3
the all-time closed-course speed record,Bin 1 (Highest)
the alleged racial inequality of death sentencing,Bin 1 (Highest)
the amended certifications,Bin 2
the amount it spends buying technology elsewhere,Bin 1 (Highest)
the appointment of a bipartisan committee,Bin 2
the approval of the China Insurance Regulatory Commission,Bin 2
the area,Bin 4 (Lowest)
the army,Bin 4 (Lowest)
the arrest of the secretary general of the Popular Congress Party,Bin 1 (Highest)
the asteroid,Bin 4 (Lowest)
the asteroid's orbit,Bin 2
the attack,Bin 4 (Lowest)
the audience's heart,Bin 2
the authorities,Bin 4 (Lowest)
the average loss,Bin 3
the award,Bin 4 (Lowest)
the balance,Bin 4 (Lowest)
the balance of interests,Bin 2
the ball,Bin 4 (Lowest)
the band,Bin 4 (Lowest)
the basic state policy of resources conservation and environmental protection,Bin 1 (Highest)
the battle in heaven he has provoked,Bin 1 (Highest)
"the battle, which was clearly propaganda",Bin 2
the beginning,Bin 4 (Lowest)
the beginning of this episode,Bin 2
the behavior of some of you,Bin 2
the best basketball mind of any kid he has been around,Bin 1 (Highest)
the big leagues,Bin 4 (Lowest)
the bill,Bin 4 (Lowest)
the birth of Jesus,Bin 3
the birth of the twins,Bin 3
the bishop,Bin 4 (Lowest)
the blood primarily,Bin 3
the blue by the wizard Gandalf,Bin 1 (Highest)
the board,Bin 4 (Lowest)
the bombing,Bin 4 (Lowest)
the border,Bin 4 (Lowest)
the borough,Bin 4 (Lowest)
the boys in Peter Pan,Bin 2
the brain,Bin 4 (Lowest)
the branch of the Metropolitan Line,Bin 2
the bronze medal,Bin 4 (Lowest)
the building,Bin 4 (Lowest)
"the building, a violation of the Clean Air Act",Bin 1 (Highest)
the cannons,Bin 3
"the capital cities of two U.S. states, Ohio and South Carolina",Bin 1 (Highest)
the capital's main airport,Bin 2
the cartoon,Bin 3
the case,Bin 4 (Lowest)
"the cause of the seizure episodes, along with other organic causes of non-epileptic seizures, such as syncope, migraine, vertigo, and stroke, for example",Bin 1 (Highest)
the censorship of cyberspace,Bin 2
the character Donnie Brasco,Bin 2
the character designs,Bin 3
"the children's musical ""Aladdin",Bin 1 (Highest)
the church,Bin 4 (Lowest)
the circle of elite,Bin 2
the city,Bin 4 (Lowest)
"the city, Giovanni Domenico Ferretti",Bin 1 (Highest)
the cleanup effort,Bin 3
the climax,Bin 4 (Lowest)
the closure of Kahrizak prison,Bin 1 (Highest)
the club,Bin 4 (Lowest)
"the club, where he also took part in several public debates on his whistleblower website WikiLeaks and the state of the modern media",Bin 1 (Highest)
the collapse of the Soviet Union and Yugoslavia,Bin 2
the commission,Bin 4 (Lowest)
the community,Bin 4 (Lowest)
the company,Bin 4 (Lowest)
"the company's director of communications, Lyan Sierra-Caro",Bin 1 (Highest)
the competition,Bin 3
the complaints,Bin 3
"the complaints, filed in federal court in Georgia",Bin 1 (Highest)
the concept,Bin 4 (Lowest)
the concepts of a pseudometric space or a dislocated metric space,Bin 1 (Highest)
the construction of large reservoirs,Bin 2
the contest months,Bin 3
the correct usage of the Portuguese language,Bin 2
the country,Bin 4 (Lowest)
the country's first ever participation in the Winter Paralympic Games,Bin 1 (Highest)
the country's troops,Bin 2
"the country, hurt soldiers' morale",Bin 1 (Highest)
the county border,Bin 3
the course outside the Aota Main Stadium,Bin 1 (Highest)
the court,Bin 4 (Lowest)
the crowd,Bin 4 (Lowest)
the crucial vote,Bin 3
the cup,Bin 4 (Lowest)
the current government,Bin 3
the cycling leg of the Youth Olympic Games girls,Bin 1 (Highest)
the data,Bin 4 (Lowest)
the de-emphasis of central areas,Bin 2
the deadliest attack,Bin 3
"the death of her husband, Martin",Bin 2
"the death, abduction and displacement of thousands of civilians",Bin 1 (Highest)
the debate on energy and climate change,Bin 2
the decision to recuse,Bin 2
the defense ministers' meeting,Bin 2
the degree of doctor of medicine,Bin 3
the demand,Bin 4 (Lowest)
the dental laboratory,Bin 3
the departure point one,Bin 2
the deputy mayor and treasurer of the city of Leipzig,Bin 1 (Highest)
the desert near Khakrez,Bin 1 (Highest)
the desert winter,Bin 3
the designs of the often cruel Saskatchewan weather,Bin 1 (Highest)
"the desk, dressed in a fabulous pinstriped suit",Bin 1 (Highest)
the destruction of the ancient city of Madurai,Bin 2
the development of breast cancer,Bin 2
the development of trust agency business between the two banks,Bin 1 (Highest)
the development which linked these isolated buildings,Bin 1 (Highest)
the disclosures,Bin 3
the dismissal,Bin 4 (Lowest)
the dissolution of the Soviet Union,Bin 3
"the districts of Goudrou, Lagamara, Limmou, Nonna, and Guera, he",Bin 1 (Highest)
the divisions that led to the war,Bin 2
the door,Bin 4 (Lowest)
the draft statement,Bin 3
the draw,Bin 4 (Lowest)
the duties of the SDF,Bin 2
the economy,Bin 4 (Lowest)
the edge,Bin 4 (Lowest)
the effect of this change on inflation and on the extent the minimum level of basic needs would be provided for the poor sectors,Bin 1 (Highest)
the elbow with a pocket knife,Bin 2
the emperor,Bin 4 (Lowest)
the end,Bin 4 (Lowest)
the end of next month,Bin 2
the end of the runway,Bin 3
the end of the year,Bin 3
the end of their three-day summit Saturday,Bin 1 (Highest)
the end of this weekend,Bin 2
the ensemble cast,Bin 3
the ensuing kick,Bin 3
the entire country,Bin 3
the environment,Bin 4 (Lowest)
the episode,Bin 4 (Lowest)
the era in which we are seeing military coups as a means of political transition rather than democratic elections,Bin 1 (Highest)
the era where his singing voice had not,Bin 1 (Highest)
the eve of deploying to Afghanistan,Bin 1 (Highest)
the extent that Indonesia's exports are vertically integrated with China's production process,Bin 1 (Highest)
the fact,Bin 4 (Lowest)
the fall,Bin 4 (Lowest)
the families of the victims of the Dirty War,Bin 2
the family Limapontiidae,Bin 1 (Highest)
the farmers of Linpien,Bin 1 (Highest)
the farthest upstream Mississippi River port capable of handling Panamax ships,Bin 1 (Highest)
the federal government,Bin 4 (Lowest)
the fifth grade,Bin 3
the film,Bin 4 (Lowest)
the finals,Bin 4 (Lowest)
the first Albion player,Bin 2
the first American deaths,Bin 2
the first Keeper of Indian art,Bin 2
the first book,Bin 4 (Lowest)
the first edition of the Games (organised by IFIUS),Bin 1 (Highest)
the first election,Bin 4 (Lowest)
the first federal agencies,Bin 3
"the first inning, that scored a run",Bin 2
the first nine months of the year,Bin 2
the first phase investment,Bin 3
"the first quarter, Saskatchewan's quarterback",Bin 1 (Highest)
the first round,Bin 4 (Lowest)
the first synod held in Western Australia,Bin 2
the first verse of BROTHERS UNDER THE SKIN,Bin 2
the first woman to cross the island of New Guinea,Bin 2
the flames,Bin 4 (Lowest)
the floodplain of the East Fork of the Quinault River,Bin 1 (Highest)
the following,Bin 4 (Lowest)
the former Prime Minister,Bin 3
the formerly moribund team,Bin 2
the formulary,Bin 3
the foundation,Bin 4 (Lowest)
